,ave_quartile_2,median_earnings
0,405.0,31400.0
1,582.5,40300.0
2,,38100.0
3,577.5,46600.0
4,427.5,27800.0
5,555.0,42400.0
6,,27100.0
7,,39700.0
8,,34800.0
9,576.6666666666666,45400.0
10,577.5,41900.0
11,,27700.0
12,,21300.0
13,,29800.0
14,,26300.0
15,,28900.0
16,,37600.0
17,,26900.0
18,,
19,,27100.0
20,,27800.0
21,,24400.0
22,,42300.0
23,470.0,37100.0
24,,32700.0
25,,23500.0
26,482.5,35100.0
27,,27200.0
28,,30300.0
29,,27200.0
30,571.6666666666666,30700.0
31,,22300.0
32,,33800.0
33,,28000.0
34,527.5,48500.0
35,,27200.0
36,557.5,37800.0
37,524.0,35100.0
38,,26300.0
39,485.5,36300.0
40,,28700.0
41,458.5,33700.0
42,,23200.0
43,,29000.0
44,,20100.0
45,,22600.0
46,560.0,45800.0
47,,
48,,24300.0
49,,26000.0
50,488.3333333333333,38300.0
51,541.6666666666666,43800.0
52,,28800.0
53,405.5,24700.0
54,,25600.0
55,,21000.0
56,,36600.0
57,,36600.0
58,,36600.0
59,,36600.0
60,,36600.0
61,,
62,457.5,37100.0
63,,
64,,25900.0
65,,42000.0
66,,
67,,38200.0
68,,39500.0
69,500.6666666666667,47400.0
70,,30100.0
71,,42000.0
72,,42000.0
73,,30900.0
74,,16400.0
75,,
76,,30700.0
77,,26200.0
78,,26200.0
79,,26200.0
80,,
81,,17600.0
82,,22300.0
83,572.5,45200.0
84,,25600.0
85,547.3333333333334,44400.0
86,,27500.0
87,,28700.0
88,,25200.0
89,,16500.0
90,,31200.0
91,,16900.0
92,,16900.0
93,,21800.0
94,,17900.0
95,,27800.0
96,568.3333333333334,60900.0
97,,
98,,33300.0
99,,45200.0
100,,20100.0
101,,29800.0
102,,36000.0
103,,38400.0
104,,38400.0
105,,26700.0
106,,33800.0
107,,22500.0
108,518.3333333333334,38800.0
109,,22100.0
110,,40700.0
111,,32500.0
112,,25400.0
113,,53400.0
114,,30100.0
115,,27600.0
116,,27600.0
117,535.0,35200.0
118,,37700.0
119,,36600.0
120,,23000.0
