,ave_quartile_2,unemployment_rate
0,405.0,4.840000153
1,582.5,3.450000048
2,,3.599999905
3,577.5,3.640000105
4,427.5,4.809999943
5,555.0,3.25999999
6,,3.75999999
7,,3.380000114
8,,3.789999962
9,576.6666666666666,3.140000105
10,577.5,2.839999914
11,,3.599999905
12,,5.25
13,,3.680000067
14,,3.859999895
15,,3.440000057
16,,3.920000076
17,,3.460000038
18,,
19,,3.519999981
20,,2.900000095
21,,5.139999866
22,,4.489999771
23,470.0,3.289999962
24,,3.220000029
25,,4.329999924
26,482.5,3.559999943
27,,3.829999924
28,,3.150000095
29,,3.690000057
30,571.6666666666666,3.970000029
31,,5.309999943
32,,4.320000172
33,,4.5
34,527.5,3.579999924
35,,5.25
36,557.5,3.940000057
37,524.0,2.950000048
38,,3.339999914
39,485.5,3.390000105
40,,3.279999971
41,458.5,4.25
42,,4.820000172
43,,3.359999895
44,,4.710000038
45,,5.159999847
46,560.0,2.680000067
47,,
48,,4.019999981
49,,3.460000038
50,488.3333333333333,3.900000095
51,541.6666666666666,3.569999933
52,,3.039999962
53,405.5,4.809999943
54,,5.199999809
55,,4.349999905
56,,3.849999905
57,,3.849999905
58,,3.849999905
59,,3.849999905
60,,3.849999905
61,,
62,457.5,4.849999905
63,,3.549999952
64,,3.829999924
65,,5.21999979
66,,
67,,6.559999943
68,,5.21999979
69,500.6666666666667,4.71999979
70,,8.420000076
71,,4.920000076
72,,5.21999979
73,,5.53000021
74,,3.25999999
75,,8.369999886
76,,3.980000019
77,,3.980000019
78,,
79,,
80,,6.809999943
81,,3.369999886
82,,3.980000019
83,572.5,3.150000095
84,,7.920000076
85,547.3333333333334,3.269999981
86,,3.359999895
87,,4.300000191
88,,3.690000057
89,,3.230000019
90,,3.380000114
91,,2.960000038
92,,2.960000038
93,,3.200000048
94,,2.940000057
95,,6.050000191
96,568.3333333333334,3.200000048
97,,
98,,3.49000001
99,,3.5
100,,2.970000029
101,,3.910000086
102,,3.150000095
103,,3.799999952
104,,3.960000038
105,,3.700000048
106,,3.339999914
107,,10.85000038
108,518.3333333333334,3.930000067
109,,7.130000114
110,,3.039999962
111,,4.170000076
112,,3.25
113,,3.809999943
114,,3.519999981
115,,3.650000095
116,,3.650000095
117,535.0,3.230000019
118,,3.799999952
119,,3.200000048
120,,3.359999895
121,,4.670000076
122,,3.089999914
123,,4.179999828
124,519.0,3.049999952
125,,3.349999905
126,,3.779999971
127,,3.700000048
128,,4.159999847
129,,3.200000048
130,432.5,3.630000114
131,,3.480000019
132,,3.109999895
133,,4.789999962
134,,4.360000134
135,,
136,546.6666666666666,3.190000057
137,,4.429999828
138,,
139,,3.210000038
140,562.5,3.799999952
141,395.3333333333333,5.320000172
142,,4.239999771
143,470.6666666666667,3.75
144,441.6666666666667,3.450000048
145,,4.650000095
146,,3.869999886
147,,3.690000057
148,,3.460000038
149,,3.650000095
150,535.0,3.410000086
151,,3.140000105
152,,3.460000038
153,,4.96999979
154,,5.320000172
155,,4.429999828
156,,3.690000057
157,,2.910000086
158,,3.49000001
159,560.0,3.650000095
160,,
161,519.5,3.289999962
162,600.0,3.200000048
163,,2.799999952
164,,3.970000029
165,564.3333333333334,2.920000076
166,,2.950000048
167,,3.410000086
168,,
169,,
170,,
171,,3.549999952
172,,4.28000021
173,,4.630000114
174,,4.070000172
175,,4.400000095
176,,3.039999962
177,,3.640000105
178,507.5,3.160000086
179,,2.970000029
180,,2.539999962
181,492.5,3.480000019
182,,3.660000086
183,,5.079999924
184,,4.909999847
185,,4.670000076
186,,4.059999943
187,,3.829999924
188,,3.650000095
189,,2.890000105
190,,4.429999828
191,,5.599999905
192,,
193,425.0,3.380000114
194,,4.079999924
195,487.5,4.050000191
196,,4.460000038
197,,4.599999905
198,480.0,3.24000001
199,,3.349999905
200,,4.559999943
201,,
202,,4.650000095
